,Titles,Year,IMDB Ratings,Votes
0,Knives Out,2019,7.9,336956
1,Ford v. Ferrari,2019,8.1,229275
2,Once Upon a Time... in Hollywood,2019,7.7,485682
3,Gisaengchung,2019,8.6,438759
4,Joker,2019,8.5,819211
5,The Gentlemen,2019,7.9,154994
6,1917,2019,8.3,336713
7,Avengers: Endgame,2019,8.4,734359
8,Into the Wild,2007,8.1,555653
9,The Shawshank Redemption,1994,9.3,2256909
10,Inception,2010,8.8,1979824
11,Jojo Rabbit,2019,7.9,232639
12,The Godfather,1972,9.2,1557242
13,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1607753
14,Back to the Future,1985,8.5,1013218
15,Little Women,2019,7.9,112610
16,Interstellar,2014,8.6,1429227
17,The Dark Knight,2008,9.0,2223071
18,Watchmen,2009,7.6,487249
19,Harry Potter and the Sorcerer's Stone,2001,7.6,618175
20,The Silence of the Lambs,1991,8.6,1222372
21,The Wolf of Wall Street,2013,8.2,1126727
22,Call Me by Your Name,2017,7.9,194981
23,Thor: Ragnarok,2017,7.9,556879
24,Jaws,1975,8.0,531444
25,Alien,1979,8.4,762092
26,The Help,2011,8.1,416313
27,The Matrix,1999,8.7,1618545
28,Jurassic Park,1993,8.1,835952
29,Pulp Fiction,1994,8.9,1766150
30,Django Unchained,2012,8.4,1305850
31,Inglourious Basterds,2009,8.3,1218278
32,The Lighthouse,2019,7.6,111030
33,V for Vendetta,2005,8.2,1002287
34,The Princess Bride,1987,8.1,381702
35,Gladiator,2000,8.5,1296640
36,Spider-Man: Into the Spider-Verse,2018,8.4,325435
37,Avengers: Infinity War,2018,8.4,783682
38,Mad Max: Fury Road,2015,8.1,847278
39,Boogie Nights,1997,7.9,231777
40,The Prestige,2006,8.5,1143436
41,Titanic,1997,7.8,1016670
42,Forrest Gump,1994,8.8,1739675
43,Gone Girl,2014,8.1,824665
44,Kingsman: The Secret Service,2014,7.7,575541
45,The Green Mile,1999,8.6,1100461
46,Zodiac,2007,7.7,436025
47,Se7en,1995,8.6,1389081
48,Fight Club,1999,8.8,1793209
49,Blade Runner 2049,2017,8.0,434431
50,Bohemian Rhapsody,2018,8.0,427757
51,The Irishman,2019,7.9,296421
52,The Goonies,1985,7.8,234310
53,Léon,1994,8.5,998764
54,No Country for Old Men,2007,8.1,822290
55,Goodfellas,1990,8.7,981918
56,Skyfall,2012,7.7,617375
57,Mission: Impossible - Fallout,2018,7.7,275692
58,Do the Right Thing,1989,7.9,84162
59,The Dark Knight Rises,2012,8.4,1469411
